University ,Year ,Ranking ,Tier 
MIT,2015,1,1
MIT,2015,1,1
MIT,2015,1,1
MIT,2014,1,1
MIT,2014,1,1
MIT,2014,1,1
MIT,2014,3,
MIT,2014,2,
MIT,2014,2,
MIT,2014,9,
MIT,2014,1,3
MIT,2014,1,3
MIT,2014,3,
MIT,2014,6,
MIT,2014,1,1
MIT,2014,1,1
MIT,2014,1,1
MIT,2014,1,1
MIT,2014,1,1
MIT,2013,10,
MIT,2013,6,
MIT,2013,1,1
MIT,2013,1,1
MIT,2013,3,
MIT,2013,3,
MIT,2013,1,1
MIT,2013,1,1
MIT,2013,2,
MIT,2013,4,
MIT,2013,9,
MIT,2013,2,
MIT,2013,1,2
MIT,2013,2,
MIT,2013,1,1
MIT,2013,3,
MIT,2013,1,1
MIT,2013,1,1
MIT,2013,1,2
MIT,2013,1,1
MIT,2012,1,2
MIT,2012,1,1
MIT,2012,1,2
MIT,2012,5,
MIT,2012,5,
MIT,2012,1,1
MIT,2012,1,1
MIT,2012,1,1
MIT,2012,1,1
MIT,2012,1,1
MIT,2012,1,1
MIT,2012,1,1
MIT,2012,1,1
MIT,2012,1,1
MIT,2012,3,
MIT,2012,1,2
MIT,2012,1,3
MIT,2012,1,3
MIT,2012,1,1
MIT,2012,1,3
MIT,2012,1,3
MIT,2012,1,3
MIT,2012,9,
MIT,2012,1,3
MIT,2011,1,1
MIT,2011,1,1
MIT,2011,1,3
MIT,2011,1,1
MIT,2011,5,
MIT,2011,3,
MIT,2011,3,
MIT,2011,1,3
MIT,2011,1,3
MIT,2011,1,1
MIT,2011,9,
MIT,2011,1,3
MIT,2011,1,3
MIT,2011,1,3
MIT,2011,1,3
MIT,2011,1,3
MIT,2011,1,1
MIT,2011,3,
MIT,2011,3,
Princeton,2020,1,3
Princeton,2020,1,2
Princeton,2020,1,2
Princeton,2020,1,2
Princeton,2020,1,1
Princeton,2020,1,3
Princeton,2020,1,1
Princeton,2020,6,
Princeton,2020,3,
Princeton,2020,1,2
Princeton,2020,5,
Princeton,2020,3,
Princeton,2020,8,
Princeton,2020,1,2
Princeton,2020,1,3
Princeton,2020,1,1
Princeton,2020,1,1
Princeton,2020,1,1
Princeton,2020,5,
Princeton,2020,5,
Princeton,2019,3,
Princeton,2019,3,
Princeton,2019,1,3
Princeton,2019,3,
Princeton,2019,3,
Princeton,2019,1,3
Princeton,2019,1,3
Princeton,2019,5,
Princeton,2019,1,2
Princeton,2019,1,2
Princeton,2019,1,3
Princeton,2019,1,3
Princeton,2019,1,3
Princeton,2019,1,3
Princeton,2019,8,
Princeton,2019,3,
Princeton,2018,1,2
Princeton,2018,1,2
Princeton,2018,5,
Princeton,2018,1,3
Princeton,2018,1,1
Princeton,2018,1,1
Princeton,2018,10,
Princeton,2018,1,2
Princeton,2018,1,3
Princeton,2018,1,3
Princeton,2018,10,
Princeton,2018,1,1
Princeton,2018,1,3
Princeton,2018,1,3
Princeton,2018,1,3
Princeton,2017,2,
Princeton,2017,2,
Princeton,2017,3,
Princeton,2017,3,
Princeton,2017,3,
Princeton,2017,3,
Princeton,2017,10,
Princeton,2017,5,
Princeton,2017,5,
Princeton,2017,5,
Princeton,2017,7,
Princeton,2017,8,
Princeton,2017,9,
Princeton,2017,1,3
Princeton,2017,1,3
Princeton,2017,1,3
Princeton,2017,1,3
Princeton,2017,1,3
Princeton,2017,1,3
Princeton,2017,1,3
Princeton,2017,1,3
Princeton,2017,1,1
Princeton,2017,1,1
Princeton,2017,6,
Princeton,2017,6,
Princeton,2017,6,
Princeton,2017,6,
Princeton,2016,1,3
Princeton,2016,2,
Princeton,2016,3,
Princeton,2016,3,
Princeton,2016,3,
Princeton,2016,3,
Princeton,2016,10,
Princeton,2016,5,
